LGA_CODE24,LGA_NAME24,ERP_2023,ERP_2024
10050,Albury,57509,58317
10180,Armidale,29588,29646
10250,Ballina,47277,47935
10300,Balranald,2202,2219
10470,Bathurst,44606,44939
10500,Bayside (NSW),182945,185880
10550,Bega Valley,36278,36593
10600,Bellingen,13231,13278
10650,Berrigan,8643,8666
10750,Blacktown,426075,438843
10800,Bland,5463,5454
10850,Blayney,7643,7767
10900,Blue Mountains,78437,78891
10950,Bogan,2420,2407
11150,Bourke,2364,2349
11200,Brewarrina,1411,1408
11250,Broken Hill,17622,17541
11300,Burwood,42496,43346
11350,Byron,37122,37826
11400,Cabonne,13879,13897
11450,Camden,134763,141133
11500,Campbelltown (NSW),184734,188303
11520,Canada Bay,91383,92255
11570,Canterbury-Bankstown,379733,385242
11600,Carrathool,2764,2767
11650,Central Coast (NSW),351900,354803
11700,Central Darling,1756,1767
11720,Cessnock,67579,69352
11730,Clarence Valley,55321,56037
11750,Cobar,4077,4015
11800,Coffs Harbour,80480,81248
12000,Coolamon,4549,4613
12150,Coonamble,3860,3871
12160,Cootamundra-Gundagai,11423,11424
12350,Cowra,12659,12680
12380,Cumberland,245236,252399
12390,Dubbo,56548,56997
12700,Dungog,9766,9905
12730,Edward River,8429,8411
12750,Eurobodalla,40913,41142
12850,Fairfield,209705,212210
12870,Federation,12940,13075
12900,Forbes,9299,9295
12930,Georges River,158016,161593
12950,Gilgandra,4309,4305
13010,Glen Innes Severn,8989,8978
13310,Goulburn Mulwaree,32707,33112
13340,Greater Hume,11443,11582
13450,Griffith,27126,27340
13550,Gunnedah,13278,13392
13660,Gwydir,4940,4893
13800,Hawkesbury,68144,68704
13850,Hay,2829,2861
13910,Hilltops,19253,19300
14000,Hornsby,154068,154834
14100,Hunters Hill,14038,14062
14170,Inner West,188316,190939
14220,Inverell,18056,18080
14300,Junee,6520,6458
14350,Kempsey,31451,31718
14400,Kiama,23001,23173
14500,Ku-ring-gai,127002,128362
14550,Kyogle,9468,9582
14600,Lachlan,6146,6113
14650,Lake Macquarie,219231,221859
14700,Lane Cove,41547,42566
14750,Leeton,11430,11438
14850,Lismore,43901,43783
14870,Lithgow,20722,20740
14900,Liverpool,247607,254905
14920,Liverpool Plains,7666,7670
14950,Lockhart,3396,3474
15050,Maitland,95937,98163
15240,Mid-Coast,97911,98582
15270,Mid-Western,25918,26214
15300,Moree Plains,12870,12816
15350,Mosman,29075,29253
15520,Murray River,13326,13562
15560,Murrumbidgee,3607,3658
15650,Muswellbrook,16775,16817
15700,Nambucca Valley,20774,20986
15750,Narrabri,12752,12796
15800,Narrandera,5692,5687
15850,Narromine,6442,6432
15900,Newcastle,174276,176860
15950,North Sydney,72017,72909
15990,Northern Beaches,267899,270772
16100,Oberon,5600,5604
16150,Orange,44236,44610
16200,Parkes,14255,14236
16260,Parramatta,269095,274956
16350,Penrith,224430,228661
16380,Port Macquarie-Hastings,89598,90835
16400,Port Stephens,77742,78906
16490,Queanbeyan-Palerang,65353,66855
16550,Randwick,141828,144598
16610,Richmond Valley,23703,23892
16700,Ryde,135705,139047
16900,Shellharbour,79725,81566
16950,Shoalhaven,109888,110803
17000,Singleton,25328,25639
17040,Snowy Monaro,22131,22292
17080,Snowy Valleys,14935,14955
17100,Strathfield,47820,48495
17150,Sutherland,234994,238614
17200,Sydney,231127,237278
17310,Tamworth,65236,65908
17350,Temora,6028,6023
17400,Tenterfield,6972,7081
17420,The Hills,207928,215612
17550,Tweed,98963,99793
17620,Upper Hunter,14336,14408
17640,Upper Lachlan,8705,8875
17650,Uralla,6047,6096
17750,Wagga Wagga,68703,68951
17850,Walcha,2968,2990
17900,Walgett,5518,5497
17950,Warren,2583,2593
18020,Warrumbungle,9228,9239
18050,Waverley,71422,72857
18100,Weddin,3616,3608
18200,Wentworth,7687,7804
18250,Willoughby,77887,79634
18350,Wingecarribee,53107,53552
18400,Wollondilly,57602,59782
18450,Wollongong,219117,221894
18500,Woollahra,54666,55175
18710,Yass Valley,17475,17647
19399,Unincorporated NSW,1013,984
20110,Alpine,13181,13199
20260,Ararat,11683,11686
20570,Ballarat,118126,121050
20660,Banyule,129607,131931
20740,Bass Coast,42729,43557
20830,Baw Baw,60636,61905
20910,Bayside (Vic.),104307,106118
21010,Benalla,14529,14635
21110,Boroondara,174633,178008
21180,Brimbank,196059,198152
21270,Buloke,6039,5956
21370,Campaspe,38296,38153
21450,Cardinia,126932,130383
21610,Casey,392060,405415
21670,Central Goldfields,13574,13704
21750,Colac Otway,22272,22300
21830,Corangamite,15947,15846
21890,Darebin,155713,159963
22110,East Gippsland,49176,49422
22170,Frankston,142808,144615
22250,Gannawarra,10419,10404
22310,Glen Eira,156897,161057
22410,Glenelg,20021,20007
22490,Golden Plains,25812,26337
22620,Greater Bendigo,124159,125805
22670,Greater Dandenong,163824,167298
22750,Greater Geelong,282787,289565
22830,Greater Shepparton,69133,69874
22910,Hepburn,16670,16824
22980,Hindmarsh,5559,5464
23110,Hobsons Bay,93740,95633
23190,Horsham,20312,20376
23270,Hume,262741,271709
23350,Indigo,17660,17788
23430,Kingston (Vic.),163736,166521
23670,Knox,161765,163302
23810,Latrobe (Vic.),78147,78845
23940,Loddon,7747,7755
24130,Macedon Ranges,52915,53738
24210,Manningham,129543,131761
24250,Mansfield,10546,10782
24330,Maribyrnong,91776,94251
24410,Maroondah,117432,119354
24600,Melbourne,177785,189381
24650,Melton,206021,219697
24700,Merri-bek,181265,186534
24780,Mildura,57553,57626
24850,Mitchell,53712,56384
24900,Moira,30771,30836
24970,Monash,203687,209268
25060,Moonee Valley,126499,129732
25150,Moorabool,39084,39814
25340,Mornington Peninsula,170245,171450
25430,Mount Alexander,20575,20799
25490,Moyne,17608,17717
25620,Murrindindi,15482,15603
25710,Nillumbik,63259,63693
25810,Northern Grampians,11878,11808
25900,Port Phillip,109585,112669
25990,Pyrenees,7785,7958
26080,Queenscliffe,3238,3302
26170,South Gippsland,30822,31022
26260,Southern Grampians,16468,16525
26350,Stonnington,111416,114038
26430,Strathbogie,11579,11739
26490,Surf Coast,39290,39928
26610,Swan Hill,21210,21094
26670,Towong,6243,6237
26700,Wangaratta,30000,30169
26730,Warrnambool,35906,36150
26810,Wellington,46120,46533
26890,West Wimmera,3932,3913
26980,Whitehorse,178714,183462
27070,Whittlesea,245013,253204
27170,Wodonga,44269,44824
27260,Wyndham,324061,337009
27350,Yarra,97505,100706
27450,Yarra Ranges,158672,160137
27630,Yarriambiack,6388,6346
29399,Unincorporated Vic,953,964
30250,Aurukun,1153,1163
30300,Balonne,4344,4356
30370,Banana,14917,15053
30410,Barcaldine,2893,2917
30450,Barcoo,317,317
30760,Blackall Tambo,1953,1969
30900,Boulia,478,479
31000,Brisbane,1323481,1355640
31750,Bulloo,346,347
31820,Bundaberg,104168,106146
31900,Burdekin,17019,17204
31950,Burke,438,444
32080,Cairns,175397,178104
32250,Carpentaria,2211,2229
32260,Cassowary Coast,29972,30390
32270,Central Highlands (Qld),28969,29336
32310,Charters Towers,12011,12040
32330,Cherbourg,1263,1281
32450,Cloncurry,3850,3882
32500,Cook,4761,4824
32600,Croydon,270,270
32750,Diamantina,272,271
32770,Doomadgee,1460,1473
32810,Douglas,12829,13071
33100,Etheridge,726,727
33200,Flinders (Qld),1543,1552
33220,Fraser Coast,117935,120685
33360,Gladstone,66829,68065
33430,Gold Coast,666108,681389
33610,Goondiwindi,10450,10495
33620,Gympie,56162,57449
33800,Hinchinbrook,11116,11162
33830,Hope Vale,1025,1053
33960,Ipswich,251105,259886
33980,Isaac,23021,23197
34420,Kowanyama,1146,1151
34530,Livingstone,41901,42849
34570,Lockhart River,672,688
34580,Lockyer Valley,43847,45054
34590,Logan,377724,392339
34710,Longreach,3736,3758
34770,Mackay,126887,128361
34800,McKinlay,849,852
34830,Mapoon,465,485
34860,Maranoa,13253,13371
34880,Mareeba,23702,24003
35010,Moreton Bay,510063,522494
35250,Mornington,1079,1087
35300,Mount Isa,18943,18788
35600,Murweh,3966,3992
35670,Napranum,924,943
35740,Noosa,58371,59274
35760,North Burnett,10352,10482
35780,Northern Peninsula Area,2907,2928
35790,Palm Island,2213,2287
35800,Paroo,1725,1729
36070,Pormpuraaw,644,647
36150,Quilpie,708,709
36250,Redland,166799,170225
36300,Richmond,781,788
36370,Rockhampton,84508,85334
36510,Scenic Rim,45245,46036
36580,Somerset,26247,26579
36630,South Burnett,34289,34745
36660,Southern Downs,37441,37820
36720,Sunshine Coast,365936,375328
36820,Tablelands,27258,27630
36910,Toowoomba,181805,184377
36950,Torres,3501,3495
36960,Torres Strait Island,4285,4289
37010,Townsville,201413,204541
37300,Weipa,4251,4281
